defect_id,run_id,ref,mpn,defect_type,x_mm,y_mm,placement_pattern,disposition
D-0001,RUN-2024-0601,J1,USB4105-GF-A,component_shift,4.20,40.10,edge_connector,repair
D-0002,RUN-2024-0601,J1,USB4105-GF-A,solder_bridge,4.35,40.30,edge_connector,repair
D-0003,RUN-2024-0601,C12,CL05B104KO5NNNC,tombstone,31.50,12.80,dense_group,scrap
D-0004,RUN-2024-0601,R7,RC0402FR-0710KL,insufficient_solder,30.10,13.40,dense_group,repair
D-0005,RUN-2024-0601,U1,STM32F411CEU6,component_shift,30.00,22.00,bga_center,repair
D-0006,RUN-2024-0601,C12,CL05B104KO5NNNC,tombstone,31.50,12.80,dense_group,scrap
D-0007,RUN-2024-0602,J1,USB4105-GF-A,solder_bridge,4.20,40.10,edge_connector,repair
D-0008,RUN-2024-0602,J2,USB4105-GF-A,component_shift,20.00,40.00,edge_connector,repair
D-0009,RUN-2024-0602,U3,TPD4E05U06,insufficient_solder,8.50,38.20,edge_connector,repair
D-0010,RUN-2024-0602,R22,RC0603FR-07100RL,excess_solder,52.30,15.00,dense_group,repair
D-0011,RUN-2024-0603,U1,STM32F411CEU6,solder_bridge,18.00,20.00,bga_center,rework
D-0012,RUN-2024-0603,U4,STM32F411CEU6,missing,58.00,62.00,bga_center,scrap
D-0013,RUN-2024-0603,C30,GRM21BR61E106KA73L,tombstone,12.40,55.60,dense_group,scrap
D-0014,RUN-2024-0603,C30,GRM21BR61E106KA73L,component_shift,12.40,55.60,dense_group,repair
D-0015,RUN-2024-0604,J1,USB4105-GF-A,solder_bridge,4.20,40.10,edge_connector,repair
D-0016,RUN-2024-0604,D2,150060GS75000,polarity,60.20,5.40,near_board_edge,scrap
D-0017,RUN-2024-0604,D2,150060GS75000,polarity,60.20,5.40,near_board_edge,scrap
D-0018,RUN-2024-0604,R7,RC0402FR-0710KL,insufficient_solder,30.10,13.40,dense_group,repair
D-0019,RUN-2024-0604,U2,SX1276IMLTRT,component_shift,65.00,18.50,rf_antenna_zone,rework
D-0020,RUN-2024-0604,U2,SX1276IMLTRT,solder_bridge,65.00,18.50,rf_antenna_zone,rework
